longitude,latitude,temperature
73.45102022250133,4.170574052547094,34.04
73.41380147267553,4.185974263640196,21.26
73.42600704189269,4.180651482328892,38.3
73.43810833706108,4.185690642349945,33.49
73.46514316606336,4.191417105110683,23.45
73.46796273131329,4.178181705756914,31.97
73.4181279110073,4.179168151023001,27.63
73.46082690217446,4.189465705276259,24.35
73.43496291702549,4.180158818273895,37.39
73.45004039978969,4.1835881313854015,38.7
73.47621825087789,4.181295080727814,30.59
73.43093795499944,4.191449165559925,27.92
73.45690593664978,4.171405015103045,28.27
73.44704040972066,4.171773146736868,26.48
73.48745264654994,4.184659858850758,23.55
73.47799370273717,4.175384099519279,38.39
73.45332157923143,4.188643120234784,25.22
73.45310009248395,4.180985301992384,38.99
73.46626446475486,4.190634880266328,30.85
73.43160942754194,4.172352395511709,34.87
73.4773751716554,4.185328307417251,29.58
73.42828345044282,4.19058866956912,23.23
73.45155376185915,4.183948702120915,28.52
73.44771407922222,4.1714453279105745,33.3
73.4453700841392,4.180626033724979,34.48
73.41324047545794,4.169130730404965,27.36
73.48319162178579,4.180639464736595,33.55
73.46708043738555,4.177623860427035,22.09
73.44482207731474,4.1684644348092155,39.52
73.47995518026678,4.189901144831001,35.3
73.48197199830159,4.17530372615973,23.5
73.48191808435844,4.190945578417496,29.16
73.40822694592478,4.18319256799931,23.05
73.47928020557707,4.186918629676509,22.07
73.45417148163294,4.176585695704342,21.49
73.4532121740498,4.181661135157583,23.03
73.43000378517476,4.187545432185153,38.41
73.46975094419007,4.1740661356837165,28.21
73.48718881883062,4.190815268518408,32.42
73.48232360016651,4.168387010216373,23.16
73.46714185473941,4.190780540286952,29.51
73.41428274066288,4.185626312657388,28.67
73.4723227503095,4.1867874488090155,33.23
73.43560424760763,4.176454229845047,21.19
73.46092392934604,4.169177956125299,23.62
73.45355274515377,4.188972666275065,23.45
73.48231493935839,4.177600993477908,36.89
73.46718661514468,4.172422000670713,32.19
73.47737515688557,4.1744445999982975,29.05
73.48875990733107,4.1854504162421815,36.46
73.4259946633444,4.187555394305528,30.94
73.42839180013867,4.183443135447339,35.18
73.41160672788615,4.171607281164863,35.87
73.4300491585705,4.17656120639363,38.37
73.41600679665302,4.18961630114168,36.94
73.47034328751575,4.178421481268794,35.22
73.4347511903473,4.184241881259658,36.98
73.44472277502257,4.182434540280869,24.41
73.45182532017881,4.187430338042322,25.68
73.4831458755974,4.17797337998329,26.31
73.41627753735439,4.18078535110443,30.64
73.45076688901045,4.184519623411134,28.66
73.4774388420522,4.185491490598019,21.15
73.46864164330289,4.16828879271875,38.59
73.43815680376345,4.188965167157473,21.34
73.45967292521253,4.175638447549456,32.66
73.4311789479075,4.172065120078352,25.13
73.43273339671691,4.1710578647110745,35.83
73.4254712367637,4.1855254063472636,24.88
73.44463970690144,4.180046741839123,24.36
73.4841790293068,4.172612494036644,38.75
73.46589533027183,4.174918509520461,36.85
73.44432454601747,4.17146079462119,25.5
73.45169303599538,4.168770121016163,24.37
73.48802967525344,4.190996876050676,26.05
73.4575835177271,4.1904208192683035,39.08
73.44407075128844,4.173912925568014,29.59
73.45598496473,4.181416845585013,35.17
73.4437086331366,4.175565992566546,31.03
73.44799868565391,4.184354012269348,30.74
73.45578861298304,4.18269684156215,38.01
73.44383774887939,4.173630901096247,29.25
73.47252604234684,4.188227826698397,29.8
73.42890270728914,4.183100005859851,21.96
73.45659669403751,4.179593442626736,39.03
73.42805974673247,4.175537997716852,24.51
73.48829967126258,4.1692655078190075,39.85
73.41570244823015,4.169754646618377,22.56
