longitude,latitude,insolation,windspeed
73.41388182974447,4.179395330353859,995.68,28.03
73.52373708618865,4.198685795495499,1460.61,29.48
73.51670777069711,4.170716205366032,1315.66,16.27
73.43855979069586,4.17747242411087,1261.75,24.05
73.52594254979375,4.242229150263489,1322.87,15.85
73.52486218737508,4.217007050451313,1148.64,14.35
73.41186249717268,4.1724383006729955,1197.88,20.44
73.52837290614582,4.21012398020401,1403.89,19.86
73.48551429004824,4.186148116616098,1234.56,14.37
73.53031044211157,4.182491954708826,985.11,23.86
73.53558938209503,4.189854516727557,1170.0,20.07
73.54868657518988,4.186292439383334,1321.56,15.21
73.5059068607331,4.172308442430328,952.78,13.7
73.54206294278502,4.1829520453496585,1425.29,19.24
73.42576074578443,4.170991548237893,1248.78,20.64
73.5026449937451,4.170467452021359,1113.19,18.59
73.49952882729303,4.168559834446522,1417.14,17.16
73.50792417608413,4.181300456026989,1372.78,10.08
73.54848882001254,4.230027930095354,943.56,22.77
73.51672602495499,4.168993884526911,1425.95,12.54
73.51191635750281,4.177116067313169,1280.43,26.24
73.4432580298566,4.190822879871528,971.02,19.85
73.5225505153639,4.238502686920257,1269.13,26.6
73.54258782988558,4.175196843965962,1353.74,11.45
73.46265994932155,4.168246202857735,1241.12,11.56
73.45865051829449,4.178899485141133,905.2,16.72
73.52451210618007,4.189112761735522,1239.69,28.94
73.4411351848472,4.188879752289886,1066.12,29.07
73.46653902017138,4.170853473276248,1109.68,25.89
73.46666904366772,4.188724260943824,1445.22,10.37
73.5165219819226,4.170699208531403,1415.94,11.89
73.52056641076399,4.18139758730974,906.75,23.26
73.52273718752639,4.1900933649046745,1176.27,28.91
73.54390200922242,4.223844609521516,1092.6,19.05
73.42614502688895,4.17642900955216,1301.07,19.63
73.5337038010458,4.232861592639492,900.73,11.35
73.5120911505988,4.1695429826215085,1424.85,13.12
73.50297636081046,4.178342460252197,1403.23,26.22
73.50889352624623,4.16957433498264,1392.58,27.19
73.53598363213612,4.187913293168744,1074.87,25.73
73.53703308487057,4.202493793887917,926.91,19.72
73.51669882994729,4.175749630572445,1317.54,22.08
73.51252342017752,4.172114922497913,1434.87,13.29
73.53837298410409,4.242865552921829,1061.98,13.03
73.51800938836723,4.179271221448713,1099.05,22.54
73.51764474940556,4.180586250966837,1239.0,24.42
73.5468480645874,4.213126320113053,1341.4,10.11
73.4568550501593,4.187290155792314,1357.01,17.27
73.49975959829594,4.175326779126787,1238.16,29.33
73.45143870751747,4.189041916318214,1007.6,17.93
73.50733942965662,4.177727586352722,1050.03,29.3
73.52860837365492,4.224270655065344,1178.48,22.45
73.5077452845882,4.179066277706991,1278.6,25.97
73.47595279937642,4.182113050652752,1425.53,21.94
73.42895051046388,4.178988061692599,1079.33,24.71
73.5284167644649,4.188304174527638,925.33,15.31
73.45880505087676,4.176519772746694,1458.37,15.77
73.48532196001095,4.17636653777412,1452.08,19.09
73.51616527212511,4.169027602639818,1171.4,11.57
73.53872593268488,4.23514205038526,1377.15,20.41
73.51052632604906,4.181062727387484,1218.37,22.52
73.50727491372892,4.167907180934673,1069.95,26.69
73.43737846321253,4.185861664132418,1232.53,19.83
73.5193651491676,4.1687688777372935,902.85,18.64
73.55061573370479,4.240837828835955,1063.08,16.35
